2026-02-07 12:37:34 status half-installed libgcc-s1:amd64 14.2.0-19
2026-02-07 12:37:34 status unpacked libgcc-s1:amd64 14.2.0-19
2026-02-07 12:37:34 install libgmp10:amd64 <none> 2:6.3.0+dfsg-3
2026-02-07 12:37:34 status half-installed libgmp10:amd64 2:6.3.0+dfsg-3
2026-02-07 12:37:34 status unpacked libgmp10:amd64 2:6.3.0+dfsg-3
2026-02-07 12:37:34 install libhogweed6t64:amd64 <none> 3.10.1-1
2026-02-07 12:37:34 status half-installed libhogweed6t64:amd64 3.10.1-1
2026-02-07 12:37:34 status unpacked libhogweed6t64:amd64 3.10.1-1
2026-02-07 12:37:34 install liblastlog2-2:amd64 <none> 2.41-5
2026-02-07 12:37:34 status half-installed liblastlog2-2:amd64 2.41-5
2026-02-07 12:37:34 status unpacked liblastlog2-2:amd64 2.41-5
2026-02-07 12:37:34 install liblz4-1:amd64 <none> 1.10.0-4
2026-02-07 12:37:34 status half-installed liblz4-1:amd64 1.10.0-4
2026-02-07 12:37:34 status unpacked liblz4-1:amd64 1.10.0-4
2026-02-07 12:37:34 install liblzma5:amd64 <none> 5.8.1-1
2026-02-07 12:37:34 status half-installed liblzma5:amd64 5.8.1-1
2026-02-07 12:37:34 status unpacked liblzma5:amd64 5.8.1-1
2026-02-07 12:37:34 install libmd0:amd64 <none> 1.1.0-2+b1
2026-02-07 12:37:34 status half-installed libmd0:amd64 1.1.0-2+b1
2026-02-07 12:37:34 status unpacked libmd0:amd64 1.1.0-2+b1
2026-02-07 12:37:34 install libmount1:amd64 <none> 2.41-5
2026-02-07 12:37:34 status half-installed libmount1:amd64 2.41-5
2026-02-07 12:37:34 status unpacked libmount1:amd64 2.41-5
2026-02-07 12:37:34 install libnettle8t64:amd64 <none> 3.10.1-1
2026-02-07 12:37:34 status half-installed libnettle8t64:amd64 3.10.1-1
2026-02-07 12:37:34 status unpacked libnettle8t64:amd64 3.10.1-1
2026-02-07 12:37:34 install libpam-modules:amd64 <none> 1.7.0-5
2026-02-07 12:37:34 status half-installed libpam-modules:amd64 1.7.0-5
2026-02-07 12:37:35 status unpacked libpam-modules:amd64 1.7.0-5
2026-02-07 12:37:35 install libpam-modules-bin:amd64 <none> 1.7.0-5
2026-02-07 12:37:35 status half-installed libpam-modules-bin:amd64 1.7.0-5
2026-02-07 12:37:35 status unpacked libpam-modules-bin:amd64 1.7.0-5
2026-02-07 12:37:35 install libpam-runtime:all <none> 1.7.0-5
2026-02-07 12:37:35 status half-installed libpam-runtime:all 1.7.0-5
2026-02-07 12:37:35 status unpacked libpam-runtime:all 1.7.0-5
2026-02-07 12:37:35 install libpam0g:amd64 <none> 1.7.0-5
2026-02-07 12:37:35 status half-installed libpam0g:amd64 1.7.0-5
2026-02-07 12:37:35 status unpacked libpam0g:amd64 1.7.0-5
2026-02-07 12:37:35 install libpcre2-8-0:amd64 <none> 10.46-1~deb13u1
2026-02-07 12:37:35 status half-installed libpcre2-8-0:amd64 10.46-1~deb13u1
2026-02-07 12:37:35 status unpacked libpcre2-8-0:amd64 10.46-1~deb13u1
2026-02-07 12:37:35 install libseccomp2:amd64 <none> 2.6.0-2
2026-02-07 12:37:35 status half-installed libseccomp2:amd64 2.6.0-2
2026-02-07 12:37:35 status unpacked libseccomp2:amd64 2.6.0-2
2026-02-07 12:37:35 install libselinux1:amd64 <none> 3.8.1-1
2026-02-07 12:37:35 status half-installed libselinux1:amd64 3.8.1-1
2026-02-07 12:37:35 status unpacked libselinux1:amd64 3.8.1-1
2026-02-07 12:37:35 install libsemanage-common:all <none> 3.8.1-1
2026-02-07 12:37:35 status half-installed libsemanage-common:all 3.8.1-1
2026-02-07 12:37:35 status unpacked libsemanage-common:all 3.8.1-1
2026-02-07 12:37:35 install libsemanage2:amd64 <none> 3.8.1-1
2026-02-07 12:37:35 status half-installed libsemanage2:amd64 3.8.1-1
2026-02-07 12:37:35 status unpacked libsemanage2:amd64 3.8.1-1
2026-02-07 12:37:35 install libsepol2:amd64 <none> 3.8.1-1
2026-02-07 12:37:35 status half-installed libsepol2:amd64 3.8.1-1
2026-02-07 12:37:35 status unpacked libsepol2:amd64 3.8.1-1
2026-02-07 12:37:35 install libsmartcols1:amd64 <none> 2.41-5
2026-02-07 12:37:35 status half-installed libsmartcols1:amd64 2.41-5
2026-02-07 12:37:35 status unpacked libsmartcols1:amd64 2.41-5
2026-02-07 12:37:35 install libsqlite3-0:amd64 <none> 3.46.1-7
